cols,rows,inserted_rows,start_op,end_op,time_diff,operation,file_size(KB)
2,37800,2700,2022-07-31 20:04:58.012690,2022-07-31 20:04:58.034624,0.021934,SELECT,1796.0
2,40600,2800,2022-07-31 20:04:58.037617,2022-07-31 20:06:41.681436,103.643819,INSERT,1796.0
2,40600,2800,2022-07-31 20:06:41.683432,2022-07-31 20:06:41.690411,0.006979,SELECT,1796.0
2,43500,2900,2022-07-31 20:06:41.692407,2022-07-31 20:08:33.639406,111.946999,INSERT,1796.0
2,43500,2900,2022-07-31 20:08:33.641400,2022-07-31 20:08:33.648382,0.006982,SELECT,1796.0
2,46500,3000,2022-07-31 20:08:33.650376,2022-07-31 20:10:24.472898,110.822522,INSERT,1796.0
2,46500,3000,2022-07-31 20:10:24.472898,2022-07-31 20:10:24.488514,0.015616,SELECT,1796.0
2,49600,3100,2022-07-31 20:10:24.488514,2022-07-31 20:12:19.017541,114.529027,INSERT,1796.0
2,49600,3100,2022-07-31 20:12:19.019537,2022-07-31 20:12:19.027514,0.007977,SELECT,1796.0
2,52800,3200,2022-07-31 20:12:19.029509,2022-07-31 20:14:17.228990,118.199481,INSERT,1796.0
2,52800,3200,2022-07-31 20:14:17.231013,2022-07-31 20:14:17.239999,0.008986,SELECT,1796.0
2,56100,3300,2022-07-31 20:14:17.241987,2022-07-31 20:16:23.786402,126.544415,INSERT,1796.0
2,56100,3300,2022-07-31 20:16:23.794424,2022-07-31 20:16:23.807389,0.012965,SELECT,1796.0
2,59500,3400,2022-07-31 20:16:23.809375,2022-07-31 20:18:29.585912,125.776537,INSERT,1796.0
2,59500,3400,2022-07-31 20:18:29.587409,2022-07-31 20:18:29.598378,0.010969,SELECT,1796.0
2,63000,3500,2022-07-31 20:18:29.600374,2022-07-31 20:20:43.756143,134.155769,INSERT,1796.0
2,63000,3500,2022-07-31 20:20:43.758139,2022-07-31 20:20:43.769109,0.01097,SELECT,1796.0
2,66600,3600,2022-07-31 20:20:43.771104,2022-07-31 20:22:56.442741,132.671637,INSERT,1796.0
2,66600,3600,2022-07-31 20:22:56.450726,2022-07-31 20:22:56.479646,0.02892,SELECT,1796.0
2,70300,3700,2022-07-31 20:22:56.481641,2022-07-31 20:25:12.760965,136.279324,INSERT,1796.0
2,70300,3700,2022-07-31 20:25:12.765959,2022-07-31 20:25:12.778924,0.012965,SELECT,1796.0
2,74100,3800,2022-07-31 20:25:12.780919,2022-07-31 20:27:36.990708,144.209789,INSERT,1796.0
2,74100,3800,2022-07-31 20:27:36.992705,2022-07-31 20:27:37.005669,0.012964,SELECT,1796.0
2,78000,3900,2022-07-31 20:27:37.006667,2022-07-31 20:30:04.677348,147.670681,INSERT,1796.0
2,78000,3900,2022-07-31 20:30:04.679348,2022-07-31 20:30:04.693342,0.013994,SELECT,1796.0
2,82000,4000,2022-07-31 20:30:04.695334,2022-07-31 20:32:34.813278,150.117944,INSERT,1848.0
2,82000,4000,2022-07-31 20:32:34.821255,2022-07-31 20:32:34.842197,0.020942,SELECT,1848.0
2,86100,4100,2022-07-31 20:32:34.844192,2022-07-31 20:35:06.359589,151.515397,INSERT,1948.0
2,86100,4100,2022-07-31 20:35:06.362586,2022-07-31 20:35:06.376548,0.013962,SELECT,1948.0
2,90300,4200,2022-07-31 20:35:06.379569,2022-07-31 20:37:41.650844,155.271275,INSERT,2044.0
2,90300,4200,2022-07-31 20:37:41.656823,2022-07-31 20:37:41.672751,0.015928,SELECT,2044.0
2,94600,4300,2022-07-31 20:37:41.675770,2022-07-31 20:40:20.506368,158.830598,INSERT,2140.0
2,94600,4300,2022-07-31 20:40:20.510351,2022-07-31 20:40:20.527312,0.016961,SELECT,2140.0
2,99000,4400,2022-07-31 20:40:20.530303,2022-07-31 20:43:11.678584,171.148281,INSERT,2240.0
2,99000,4400,2022-07-31 20:43:11.681576,2022-07-31 20:43:11.700524,0.018948,SELECT,2240.0
2,103500,4500,2022-07-31 20:43:11.703517,2022-07-31 20:45:57.955978,166.252461,INSERT,2340.0
2,103500,4500,2022-07-31 20:45:57.959928,2022-07-31 20:45:57.979874,0.019946,SELECT,2340.0
2,108100,4600,2022-07-31 20:45:57.982866,2022-07-31 20:48:47.862723,169.879857,INSERT,2444.0
2,108100,4600,2022-07-31 20:48:47.865716,2022-07-31 20:48:47.885701,0.019985,SELECT,2444.0
2,112800,4700,2022-07-31 20:48:47.888687,2022-07-31 20:51:45.189677,177.30099,INSERT,2552.0
2,112800,4700,2022-07-31 20:51:45.192668,2022-07-31 20:51:45.213612,0.020944,SELECT,2552.0
2,117600,4800,2022-07-31 20:51:45.216603,2022-07-31 20:54:50.657216,185.440613,INSERT,2660.0
2,117600,4800,2022-07-31 20:54:50.661205,2022-07-31 20:54:50.682148,0.020943,SELECT,2660.0
2,122500,4900,2022-07-31 20:54:50.686167,2022-07-31 20:57:51.416851,180.730684,INSERT,2772.0
2,122500,4900,2022-07-31 20:57:51.420841,2022-07-31 20:57:51.442782,0.021941,SELECT,2772.0
3,100,100,2022-07-31 20:57:51.519769,2022-07-31 20:57:55.334227,3.814458,INSERT,2772.0
3,100,100,2022-07-31 20:57:55.335224,2022-07-31 20:57:55.335224,0.0,SELECT,2772.0
3,300,200,2022-07-31 20:57:55.337218,2022-07-31 20:58:02.639175,7.301957,INSERT,2772.0
3,300,200,2022-07-31 20:58:02.641134,2022-07-31 20:58:02.641134,0.0,SELECT,2772.0
3,600,300,2022-07-31 20:58:02.642132,2022-07-31 20:58:13.734924,11.092792,INSERT,2772.0
3,600,300,2022-07-31 20:58:13.735951,2022-07-31 20:58:13.736920,0.000969,SELECT,2772.0
3,1000,400,2022-07-31 20:58:13.737916,2022-07-31 20:58:28.554249,14.816333,INSERT,2772.0
3,1000,400,2022-07-31 20:58:28.556244,2022-07-31 20:58:28.556244,0.0,SELECT,2772.0
3,1500,500,2022-07-31 20:58:28.557241,2022-07-31 20:58:47.067329,18.510088,INSERT,2772.0
3,1500,500,2022-07-31 20:58:47.072316,2022-07-31 20:58:47.072316,0.0,SELECT,2772.0
3,2100,600,2022-07-31 20:58:47.075340,2022-07-31 20:59:09.280560,22.20522,INSERT,2772.0
3,2100,600,2022-07-31 20:59:09.282518,2022-07-31 20:59:09.282518,0.0,SELECT,2772.0
3,2800,700,2022-07-31 20:59:09.284513,2022-07-31 20:59:35.097908,25.813395,INSERT,2772.0
3,2800,700,2022-07-31 20:59:35.100928,2022-07-31 20:59:35.102923,0.001995,SELECT,2772.0
3,3600,800,2022-07-31 20:59:35.104889,2022-07-31 21:00:04.673262,29.568373,INSERT,2772.0
3,3600,800,2022-07-31 21:00:04.680242,2022-07-31 21:00:04.683233,0.002991,SELECT,2772.0
3,4500,900,2022-07-31 21:00:04.690215,2022-07-31 21:00:37.928813,33.238598,INSERT,2772.0
3,4500,900,2022-07-31 21:00:37.930841,2022-07-31 21:00:37.931841,0.001,SELECT,2772.0
3,5500,1000,2022-07-31 21:00:37.932831,2022-07-31 21:01:14.817014,36.884183,INSERT,2772.0
3,5500,1000,2022-07-31 21:01:14.818979,2022-07-31 21:01:14.820007,0.001028,SELECT,2772.0
3,6600,1100,2022-07-31 21:01:14.822,2022-07-31 21:01:55.366275,40.544275,INSERT,2772.0
3,6600,1100,2022-07-31 21:01:55.367272,2022-07-31 21:01:55.369267,0.001995,SELECT,2772.0
3,7800,1200,2022-07-31 21:01:55.370265,2022-07-31 21:02:39.773309,44.403044,INSERT,2772.0
3,7800,1200,2022-07-31 21:02:39.775306,2022-07-31 21:02:39.777300,0.001994,SELECT,2772.0
3,9100,1300,2022-07-31 21:02:39.778297,2022-07-31 21:03:27.915512,48.137215,INSERT,2772.0
3,9100,1300,2022-07-31 21:03:27.917468,2022-07-31 21:03:27.920459,0.002991,SELECT,2772.0
3,10500,1400,2022-07-31 21:03:27.922454,2022-07-31 21:04:19.791297,51.868843,INSERT,2772.0
3,10500,1400,2022-07-31 21:04:19.795280,2022-07-31 21:04:19.799274,0.003994,SELECT,2772.0
3,12000,1500,2022-07-31 21:04:19.802231,2022-07-31 21:05:17.019305,57.217074,INSERT,2772.0
