cols,rows,inserted_rows,start_op,end_op,time_diff,operation
2,66600,3600,2023-02-03 07:42:12.744960,2023-02-03 07:42:12.977333,0.232373,INSERT
2,66600,3600,2023-02-03 07:42:12.984854,2023-02-03 07:42:12.984854,0.0,SELECT
2,70300,3700,2023-02-03 07:42:12.992832,2023-02-03 07:42:13.230172,0.23734,INSERT
2,70300,3700,2023-02-03 07:42:13.237153,2023-02-03 07:42:13.238151,0.000998,SELECT
2,74100,3800,2023-02-03 07:42:13.246128,2023-02-03 07:42:13.490474,0.244346,INSERT
2,74100,3800,2023-02-03 07:42:13.497457,2023-02-03 07:42:13.497457,0.0,SELECT
2,78000,3900,2023-02-03 07:42:13.504436,2023-02-03 07:42:13.759754,0.255318,INSERT
2,78000,3900,2023-02-03 07:42:13.766736,2023-02-03 07:42:13.766736,0.0,SELECT
2,82000,4000,2023-02-03 07:42:13.773718,2023-02-03 07:42:14.012079,0.238361,INSERT
2,82000,4000,2023-02-03 07:42:14.018063,2023-02-03 07:42:14.019061,0.000998,SELECT
2,86100,4100,2023-02-03 07:42:14.025045,2023-02-03 07:42:14.268640,0.243595,INSERT
2,86100,4100,2023-02-03 07:42:14.275621,2023-02-03 07:42:14.275621,0.0,SELECT
2,90300,4200,2023-02-03 07:42:14.282602,2023-02-03 07:42:14.508960,0.226358,INSERT
2,90300,4200,2023-02-03 07:42:14.515941,2023-02-03 07:42:14.516938,0.000997,SELECT
2,94600,4300,2023-02-03 07:42:14.523920,2023-02-03 07:42:14.746081,0.222161,INSERT
2,94600,4300,2023-02-03 07:42:14.754060,2023-02-03 07:42:14.754060,0.0,SELECT
2,99000,4400,2023-02-03 07:42:14.762039,2023-02-03 07:42:15.086613,0.324574,INSERT
2,99000,4400,2023-02-03 07:42:15.096591,2023-02-03 07:42:15.096591,0.0,SELECT
2,103500,4500,2023-02-03 07:42:15.107557,2023-02-03 07:42:15.463606,0.356049,INSERT
2,103500,4500,2023-02-03 07:42:15.474579,2023-02-03 07:42:15.474579,0.0,SELECT
2,108100,4600,2023-02-03 07:42:15.486546,2023-02-03 07:42:15.774773,0.288227,INSERT
2,108100,4600,2023-02-03 07:42:15.783749,2023-02-03 07:42:15.783749,0.0,SELECT
2,112800,4700,2023-02-03 07:42:15.792725,2023-02-03 07:42:16.035080,0.242355,INSERT
2,112800,4700,2023-02-03 07:42:16.044056,2023-02-03 07:42:16.044056,0.0,SELECT
2,117600,4800,2023-02-03 07:42:16.052061,2023-02-03 07:42:16.293390,0.241329,INSERT
2,117600,4800,2023-02-03 07:42:16.302366,2023-02-03 07:42:16.302366,0.0,SELECT
2,122500,4900,2023-02-03 07:42:16.310891,2023-02-03 07:42:16.559815,0.248924,INSERT
2,122500,4900,2023-02-03 07:42:16.568791,2023-02-03 07:42:16.569788,0.000997,SELECT
3,100,100,2023-02-03 07:42:16.579761,2023-02-03 07:42:16.586743,0.006982,INSERT
3,100,100,2023-02-03 07:42:16.588737,2023-02-03 07:42:16.588737,0.0,SELECT
3,300,200,2023-02-03 07:42:16.589735,2023-02-03 07:42:16.600706,0.010971,INSERT
3,300,200,2023-02-03 07:42:16.601703,2023-02-03 07:42:16.601703,0.0,SELECT
3,600,300,2023-02-03 07:42:16.603319,2023-02-03 07:42:16.620243,0.016924,INSERT
3,600,300,2023-02-03 07:42:16.622238,2023-02-03 07:42:16.622238,0.0,SELECT
3,1000,400,2023-02-03 07:42:16.624234,2023-02-03 07:42:16.645902,0.021668,INSERT
3,1000,400,2023-02-03 07:42:16.646899,2023-02-03 07:42:16.646899,0.0,SELECT
3,1500,500,2023-02-03 07:42:16.648894,2023-02-03 07:42:16.673827,0.024933,INSERT
3,1500,500,2023-02-03 07:42:16.675822,2023-02-03 07:42:16.675822,0.0,SELECT
3,2100,600,2023-02-03 07:42:16.677816,2023-02-03 07:42:16.707543,0.029727,INSERT
3,2100,600,2023-02-03 07:42:16.709538,2023-02-03 07:42:16.709538,0.0,SELECT
3,2800,700,2023-02-03 07:42:16.710536,2023-02-03 07:42:16.746439,0.035903,INSERT
3,2800,700,2023-02-03 07:42:16.748434,2023-02-03 07:42:16.748434,0.0,SELECT
3,3600,800,2023-02-03 07:42:16.750429,2023-02-03 07:42:16.794311,0.043882,INSERT
3,3600,800,2023-02-03 07:42:16.796307,2023-02-03 07:42:16.796307,0.0,SELECT
3,4500,900,2023-02-03 07:42:16.798302,2023-02-03 07:42:16.846173,0.047871,INSERT
3,4500,900,2023-02-03 07:42:16.848167,2023-02-03 07:42:16.848167,0.0,SELECT
3,5500,1000,2023-02-03 07:42:16.850162,2023-02-03 07:42:16.904018,0.053856,INSERT
3,5500,1000,2023-02-03 07:42:16.906013,2023-02-03 07:42:16.906013,0.0,SELECT
3,6600,1100,2023-02-03 07:42:16.908008,2023-02-03 07:42:16.963858,0.05585,INSERT
3,6600,1100,2023-02-03 07:42:16.965853,2023-02-03 07:42:16.965853,0.0,SELECT
3,7800,1200,2023-02-03 07:42:16.967848,2023-02-03 07:42:17.028685,0.060837,INSERT
3,7800,1200,2023-02-03 07:42:17.031676,2023-02-03 07:42:17.031676,0.0,SELECT
3,9100,1300,2023-02-03 07:42:17.033672,2023-02-03 07:42:17.100493,0.066821,INSERT
3,9100,1300,2023-02-03 07:42:17.102487,2023-02-03 07:42:17.102487,0.0,SELECT
3,10500,1400,2023-02-03 07:42:17.104482,2023-02-03 07:42:17.177287,0.072805,INSERT
3,10500,1400,2023-02-03 07:42:17.179282,2023-02-03 07:42:17.179282,0.0,SELECT
3,12000,1500,2023-02-03 07:42:17.181277,2023-02-03 07:42:17.257074,0.075797,INSERT
3,12000,1500,2023-02-03 07:42:17.260066,2023-02-03 07:42:17.260066,0.0,SELECT
3,13600,1600,2023-02-03 07:42:17.262061,2023-02-03 07:42:17.346834,0.084773,INSERT
3,13600,1600,2023-02-03 07:42:17.348829,2023-02-03 07:42:17.348829,0.0,SELECT
3,15300,1700,2023-02-03 07:42:17.350823,2023-02-03 07:42:17.439587,0.088764,INSERT
3,15300,1700,2023-02-03 07:42:17.442578,2023-02-03 07:42:17.442578,0.0,SELECT
3,17100,1800,2023-02-03 07:42:17.445570,2023-02-03 07:42:17.538322,0.092752,INSERT
3,17100,1800,2023-02-03 07:42:17.541314,2023-02-03 07:42:17.541314,0.0,SELECT
3,19000,1900,2023-02-03 07:42:17.544306,2023-02-03 07:42:17.646034,0.101728,INSERT
3,19000,1900,2023-02-03 07:42:17.649026,2023-02-03 07:42:17.649026,0.0,SELECT
3,21000,2000,2023-02-03 07:42:17.652018,2023-02-03 07:42:17.755741,0.103723,INSERT
3,21000,2000,2023-02-03 07:42:17.758733,2023-02-03 07:42:17.758733,0.0,SELECT
3,23100,2100,2023-02-03 07:42:17.760728,2023-02-03 07:42:17.869953,0.109225,INSERT
3,23100,2100,2023-02-03 07:42:17.872945,2023-02-03 07:42:17.872945,0.0,SELECT
3,25300,2200,2023-02-03 07:42:17.875937,2023-02-03 07:42:17.989633,0.113696,INSERT
3,25300,2200,2023-02-03 07:42:17.992625,2023-02-03 07:42:17.992625,0.0,SELECT
3,27600,2300,2023-02-03 07:42:17.995617,2023-02-03 07:42:18.113858,0.118241,INSERT
3,27600,2300,2023-02-03 07:42:18.116849,2023-02-03 07:42:18.117847,0.000998,SELECT
3,30000,2400,2023-02-03 07:42:18.120840,2023-02-03 07:42:18.244459,0.123619,INSERT
3,30000,2400,2023-02-03 07:42:18.247451,2023-02-03 07:42:18.247451,0.0,SELECT
3,32500,2500,2023-02-03 07:42:18.251440,2023-02-03 07:42:18.380433,0.128993,INSERT
3,32500,2500,2023-02-03 07:42:18.384422,2023-02-03 07:42:18.384422,0.0,SELECT
3,35100,2600,2023-02-03 07:42:18.388412,2023-02-03 07:42:18.527041,0.138629,INSERT
3,35100,2600,2023-02-03 07:42:18.530033,2023-02-03 07:42:18.531031,0.000998,SELECT
3,37800,2700,2023-02-03 07:42:18.535021,2023-02-03 07:42:18.681816,0.146795,INSERT
3,37800,2700,2023-02-03 07:42:18.686186,2023-02-03 07:42:18.686186,0.0,SELECT
3,40600,2800,2023-02-03 07:42:18.690203,2023-02-03 07:42:18.835787,0.145584,INSERT
3,40600,2800,2023-02-03 07:42:18.839776,2023-02-03 07:42:18.839776,0.0,SELECT
3,43500,2900,2023-02-03 07:42:18.843766,2023-02-03 07:42:18.996358,0.152592,INSERT
3,43500,2900,2023-02-03 07:42:19.000347,2023-02-03 07:42:19.000347,0.0,SELECT
3,46500,3000,2023-02-03 07:42:19.005333,2023-02-03 07:42:19.166901,0.161568,INSERT
3,46500,3000,2023-02-03 07:42:19.170891,2023-02-03 07:42:19.171888,0.000997,SELECT
3,49600,3100,2023-02-03 07:42:19.176875,2023-02-03 07:42:19.348416,0.171541,INSERT
3,49600,3100,2023-02-03 07:42:19.353403,2023-02-03 07:42:19.354401,0.000998,SELECT
